Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Trace-4,1,5.1,0.27,25.5,110.52,0,556
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,49,3,7.6,0.4,38,43.71,0,496
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,50,1,1.1,0.06,5.5,163.67,0,1065
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,51,0,0,0,0,120.92,0,525
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,52,1,1.267,0.07,6.33,132.02,0,738
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,53,2,14.333,0.75,71.67,14.38,0,214
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,54,2,7.1,0.37,35.5,23.84,0,207
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,55,2,2.167,0.11,10.83,58.47,0,238
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,56,0,0,0,0,82.44,0,340
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,57,1,1.033,0.05,5.17,69.53,0,320
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,58,1,1.933,0.1,9.67,78.63,0,507
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,59,1,1.7,0.09,8.5,194.85,0,1286
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,60,1,2.5,0.13,12.5,107.5,0,619
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Tone-5,2,10.767,0.56,53.83,19.31,0,274
